"Stock","Last","Change","%Change","Open","Low","High","Close","Volume","Value","Net-Foreign","52 Week High","52 Week Low","Support 1","Support 2","Resistance 1","Resistance 2","MA 20","MA 50","MA 100","MA 200","EMA 20","EMA 50","EMA 100","EMA 200","Trend-Short","Trend-Medium","Trend-Long","RSI(14)","RSI(14)","MACD(12,26,9)","ATR(14)","Volatility","CCI(20)","STS(14,3,3)","%R(14)","VolumeSMA(10)","VolumeSMA(15)","VolumeSMA(20)","ValueSMA(10)","ValueSMA(15)","ValueSMA(20)","CandleStick(1)","CandleStick(2)","CandleStick(3)","YTD%","MTD%","WTD%","NFB(5)","NFB(15)","NFB(30)","NFB(60)","NFB(360)","EPS","EPS%","P/E","DPS%","P/BV","ROE"
"AT","4.70","-0.02","-0.42%","4.73","4.60","4.73","4.72","165,000.00","768,560.00","-4,600.00","5.80","4.40","4.65","4.40","4.89","5.12","4.9120","4.9240","4.8676","4.96335","4.8680575262","4.8937002144","4.9056539119","4.9419629549","DOWNTREND","SIDEWAYS","SIDEWAYS","29.8992496003","OVERSOLD","-0.0227303933","1.77%","LOW","-173.3796296296","0.00","-80.00","159,030","160,113","182,130","765,949.00","781,796.8666666667","897,135.05","Hanging Man","Bearish Engulfing","None","-6.00%","-6.00%","-0.42%","-4,630.00","-64,682.00","-347,134.00","-2,967,847.00","-33,826,994.9987","-0.65","-3,350.00%","-7.2307692308","0","0.2602436323","0"
"ATI","12.52","-0.04","-0.32%","12.56","12.52","12.56","12.56","8,500.00","106,424.00","0.00","14.50","10.20","12.50","11.00","13.43","14.03","12.06","11.8444","11.6108","11.4245","12.2083650635","11.9157718069","11.7068457283","11.5412484258","UPTREND","SIDEWAYS","SIDEWAYS","55.6423299987","NEUTRAL","0.2081906005","3.73%","NEUTRAL","58.2731889869","43.619047619","-56.5714285714","59,200","41,307","32,440","730,705.60","507,947.0666666667","397,854.90","Black Marubozu","None","None","5.92%","5.21%","-0.32%","479,420.00","1,755,770.00","1,758,797.9999","26,634,125.9999","41,627,817.9997","1.26","40.00%","9.9365079365","0","1.9716535433","0"
"ATN","0.56","-0.01","-1.75%","0.56","0.55","0.57","0.57","2,505,000.00","1,403,430.00","0.00","0.75","0.30","0.55","0.53","0.58","0.72","0.6280","0.5662","0.48795","0.41545","0.6038360876","0.5702588495","0.5123922489","0.4525543806","DOWNTREND","UPTREND","UPTREND","40.5844747461","NEUTRAL","0.0101981614","6.70%","HIGH","-127.4074074074","16.1998132586","-85.7142857143","9,407,200","10,630,467","21,297,750","5,676,148.00","6,681,704.6666666667","14,128,855.00","Doji","None","None","36.59%","-15.15%","-1.75%","0.00","0.00","0.00","0.00","0.00","0.00","0.00%","0.00","0","1.3658536585","0"
"ATNB","0.58","0.01","1.75%","0.57","0.57","0.59","0.57","547,000.00","316,690.00","0.00","0.75","0.30","0.57","0.54","0.60","0.72","0.6425","0.5922","0.50885","0.42895","0.6195482954","0.5901849105","0.5320690525","0.4685370199","DOWNTREND","UPTREND","UPTREND","42.5265730134","NEUTRAL","0.007538433","5.53%","HIGH","-124.9600511345","0.00","-91.6666666667","3,300,300","2,734,333","4,962,750","2,049,849.00","1,724,398.00","3,306,347.50","None","Tweezer Bottoms","None","26.09%","-12.12%","1.75%","814,970.0001","11,383,670.0001","15,331,209.0001","24,479,169.0001","29,075,858.9996","0.00","0.00%","0.00","0","0.00","0"
"AUB","59.40","-0.10","-0.17%","59.00","58.50","59.40","59.50","7,860.00","463,198.00","142,035.00","60.00","47.15","58.80","56.90","59.55","60.00","59.4475","59.5130","59.5745","58.46","59.4925818731","59.4965124853","59.235003677","57.6764418329","SIDEWAYS","SIDEWAYS","SIDEWAYS","47.7965969635","NEUTRAL","0.0239987596","1.54%","LOW","-47.2697636512","84.4444444445","-20.00","7,382","10,074","11,747","437,811.34","596,582.0266666667","694,636.37","None","None","None","-0.67%","0.08%","-0.17%","455,687.00","4,930,469.50","9,863,495.50","23,564,429.00","341,703,839.4998","5.41","23.23%","10.9796672828","0","1.0871156662","0"
"BC","1.62","-0.01","-0.61%","1.64","1.61","1.64","1.63","109,000.00","177,030.00","0.00","2.61","1.61","1.48","1.26","1.75","1.92","1.7080","1.7224","1.7919","1.87455","1.7020171607","1.7335390986","1.7889614575","1.8853088351","SIDEWAYS","SIDEWAYS","DOWNTREND","42.7983341787","NEUTRAL","-0.0090018263","3.82%","NEUTRAL","-120.9377901578","0.00","-97.3684210526","40,400","35,200","32,950","71,125.00","61,222.00","54,756.00","Black Long Day","None","None","-6.36%","-12.43%","-5.26%","0.00","0.00","0.00","0.00","0.00","-0.60","-475.00%","-2.70","0","0.2722689076","0"
"BCB","1.67","0.01","0.60%","1.66","1.66","1.67","1.66","20,000.00","33,250.00","0.00","2.61","1.60","1.66","1.60","1.71","1.96","1.6915","1.7178","1.7859","1.89845","1.7006942867","1.7281971773","1.7870534031","1.9049188308","UPTREND","SIDEWAYS","SIDEWAYS","47.6773764516","NEUTRAL","-0.008177456","4.29%","NEUTRAL","-34.3116404367","17.5925925926","-80.5555555556","49,400","54,333","52,700","92,323.00","96,234.00","92,224.50","White Marubozu","None","None","-4.57%","-14.80%","-2.34%","0.00","77,640.00","113,800.00","-1,073,010.00","-18,712,105.9998","0.00","0.00%","0.00","0","0.00","0"
"BCOR","5.22","-0.02","-0.38%","5.22","5.22","5.22","5.24","100.00","522.00","0.00","7.50","4.51","4.82","4.66","5.24","5.54","5.0895","5.0716","5.0996","5.28055","5.0637378332","5.0813495745","5.1342834972","5.2232795887","DOWNTREND","SIDEWAYS","SIDEWAYS","52.7995544409","NEUTRAL","-0.0200219189","4.98%","NEUTRAL","51.4378974619","57.928802589","-31.067961165","2,030","4,380","4,400","10,035.60","21,166.40","21,356.25","White Marubozu","None","Three White Soldiers","7.19%","-3.33%","-0.38%","0.00","4,716.00","36,670.00","59,628.00","-349,827.9998","0.22","83.33%","23.7272727273","0","2.8216216216","0"
"BDO","138.00","-2.00","-1.43%","139.60","137.20","139.80","140.00","3,896,540.00","537,398,307.00","-284,559,984.00","167.70","116.00","137.60","133.55","146.90","157.00","148.9050","152.1340","151.0810","139.4825","146.9936090539","149.9150512084","148.2112040419","141.3493945436","DOWNTREND","SIDEWAYS","SIDEWAYS","35.2749645292","NEUTRAL","-2.0707236528","3.13%","NEUTRAL","-172.2908093278","14.6836462787","-95.4545454545","3,227,618","2,602,945","2,378,573","463,017,724.00","376,922,305.4666666667","348,393,182.90","None","None","None","-15.85%","-11.42%","-1.43%","-851,727,731.00","-1,479,753,193.00","-2,346,832,002.00","-4,400,730,896.00","-3,365,512,049.1999","6.22","-10.37%","22.1864951768","0","2.0871143376","0"
"BEL","3.66","0.00","0.00%","3.75","3.64","3.75","3.66","229,000.00","839,660.00","256,670.00","4.40","3.51","3.64","3.52","3.71","3.99","3.7630","3.7648","3.7756","3.78655","3.7311332509","3.7565293531","3.7677845629","3.7419526336","DOWNTREND","SIDEWAYS","SIDEWAYS","41.6271669763","NEUTRAL","-0.011336862","2.31%","LOW","-92.6529134998","4.8780487805","-95.1219512195","542,300","670,400","732,800","2,026,041.00","2,550,963.3333333333","2,791,891.50","Black Long Day","Bearish Engulfing","None","-5.67%","-1.61%","0.00%","499,670.00","5,258,070.00","7,989,950.00","33,833,890.00","-206,903,139.9996","0.28","3.70%","13.0714285714","0","1.3707865169","0"
